"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"HidUsb","Драйвер класса HID Microsoft","Драйвер класса HID Microsoft","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","32 768","0","","C:\WINDOWS\system32\drivers\hidusb.sys","4 096"
"HpSAMD","HpSAMD","HpSAMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","45 056","0","27.03.2013 0:36:54","C:\WINDOWS\system32\drivers\HpSAMD.sys","4 096"
"Hsp","Служба Microsoft Pluton","Служба Microsoft Pluton","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","49 152","0","","C:\WINDOWS\system32\drivers\Hsp.sys","4 096"
"HTTP","HTTP-служба","HTTP-служба","Kernel ","Manual","Running","OK","TRUE","FALSE","110 592","1 462 272","0","","C:\WINDOWS\system32\drivers\HTTP.sys","4 096"
"hvcrash","hvcrash","hvcrash","Kernel ","Disabled","Stopped","OK","FALSE","FALSE","8 192","16 384","0","","C:\WINDOWS\system32\drivers\hvcrash.sys","4 096"
"hvservice","Драйвер службы низкоуровневой оболочки Microsoft","Драйвер службы низкоуровневой оболочки Microsoft","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","16 384","0","","C:\WINDOWS\system32\drivers\hvservice.sys","4 096"
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Microsoft Hardware Notifications Class Extension Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","12 288","0","","C:\WINDOWS\system32\Drivers\mshwnclx.sys","4 096"
"hwpolicy","Hardware Policy Driver","Hardware Policy Driver","Kernel ","Boot","Stopped","OK","FALSE","FALSE","4 096","4 096","0","","C:\WINDOWS\system32\drivers\hwpolicy.sys","4 096"
"hyperkbd","hyperkbd","hyperkbd","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\drivers\hyperkbd.sys","4 096"
"HyperVideo","HyperVideo","HyperVideo","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20 480","12 288","0","","C:\WINDOWS\system32\drivers\HyperVideo.sys","4 096"
"I3CHost","Служба хост-контроллера I3C","Служба хост-контроллера I3C","Kernel ","Manual","Stopped","OK","FALSE","FALSE","90 112","184 320","0","","C:\WINDOWS\system32\DriverStore\FileRepository\i3chost.inf_amd64_c1b83b902ef08371\i3chost.sys","4 096"
"i8042prt","Драйвер i8042-клавиатуры и мыши для порта PS/2","Драйвер i8042-клавиатуры и мыши для порта PS/2","Kernel ","Manual","Running","OK","TRUE","FALSE","40 960","57 344","0","","C:\WINDOWS\system32\drivers\i8042prt.sys","4 096"
"iagpio","Драйвер контроллера GPIO с последовательным вводом-выводом Intel","Драйвер контроллера GPIO с последовательным вводом-выводом Intel","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","24 576","0","23.07.2018 12:04:46","C:\WINDOWS\system32\drivers\iagpio.sys","4 096"
"iai2c","Intel(R) Serial IO I2C Host Controller","Intel(R) Serial IO I2C Host Controller","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","77 824","0","23.07.2018 12:04:39","C:\WINDOWS\system32\drivers\iai2c.sys","4 096"
